round,home,away,pred_advance,pred_prob,exp_score,actual_advance,actual_score,decided_by,hit
R16,Paraguay,France,France,82.8,0.8-2.2,France,0-1,regulation,1
R16,Canada,Morocco,Morocco,68.6,1.0-1.7,Morocco,0-3,regulation,1
R16,Portugal,Spain,Spain,66.6,1.0-1.6,Spain,0-1,regulation,1
R16,United States,Belgium,United States,51.4,1.2-1.2,Belgium,1-4,regulation,0
R16,Brazil,Norway,Brazil,72.2,1.7-0.9,Norway,1-2,regulation,0
R16,Mexico,England,England,51.7,1.2-1.2,England,2-3,regulation,1
R16,Argentina,Egypt,Argentina,90.0,2.5-0.6,Argentina,3-2,regulation,1
R16,Switzerland,Colombia,Colombia,58.7,1.1-1.4,Switzerland,0-0 (4-3p),penalties,0
QF,France,Morocco,France,71.6,1.7-0.9,France,2-0,regulation,1
QF,Spain,Belgium,Spain,83.7,2.2-0.7,Spain,2-1,regulation,1
QF,Norway,England,England,60.8,1.1-1.5,England,1-2 aet,extra_time,1
QF,Argentina,Switzerland,Argentina,79.8,2.0-0.8,Argentina,3-1 aet,extra_time,1
SF,France,Spain,France,52.6,1.2-1.1,Spain,0-2,regulation,0
SF,Argentina,England,Argentina,64.0,1.5-1.0,,,,
