team,elo,reach_QF,reach_SF,reach_final,champion
France,2148,82.6,65.3,40.0,25.5
Spain,2170,66.3,57.6,33.5,22.2
Argentina,2155,89.7,66.3,40.3,20.6
Brazil,2079,72.3,42.6,21.1,8.4
England,2071,51.9,25.5,12.4,4.6
Morocco,2013,68.8,22.6,9.6,4.2
Portugal,2033,33.7,24.5,9.6,4.2
Colombia,2056,58.1,20.4,9.3,3.3
Mexico,2032,48.1,20.7,8.9,3.1
Norway,1960,27.7,11.2,3.8,1.0
Switzerland,1973,41.9,10.2,3.6,0.9
Belgium,1916,48.5,9.3,2.4,0.7
United States,1896,51.5,8.6,1.8,0.6
Paraguay,1871,17.4,7.0,1.8,0.5
Canada,1861,31.2,5.1,1.3,0.3
Egypt,1852,10.3,3.1,0.6,0.1
