date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2026-07-01,Belgium,Senegal,2,2,FIFA World Cup,Philadelphia,United States,True
2026-07-02,Spain,Austria,3,0,FIFA World Cup,Los Angeles,United States,True
2026-07-02,Portugal,Croatia,2,1,FIFA World Cup,Miami,United States,True
2026-07-03,Switzerland,Algeria,2,0,FIFA World Cup,Seattle,United States,True
2026-07-03,Australia,Egypt,1,1,FIFA World Cup,Dallas,United States,True
2026-07-03,Argentina,Cape Verde,1,1,FIFA World Cup,Houston,United States,True
2026-07-03,Colombia,Ghana,1,0,FIFA World Cup,Atlanta,United States,True
2026-07-04,Canada,Morocco,0,3,FIFA World Cup,Vancouver,Canada,True
2026-07-04,Paraguay,France,0,1,FIFA World Cup,New York,United States,True
2026-07-05,Brazil,Norway,1,2,FIFA World Cup,Los Angeles,United States,True
2026-07-05,Mexico,England,2,3,FIFA World Cup,Mexico City,Mexico,True
2026-07-06,Portugal,Spain,0,1,FIFA World Cup,Dallas,United States,True
2026-07-06,United States,Belgium,1,4,FIFA World Cup,Seattle,United States,True
2026-07-06,Argentina,Egypt,3,2,FIFA World Cup,Atlanta,United States,True
2026-07-07,Switzerland,Colombia,0,0,FIFA World Cup,Toronto,Canada,True
2026-07-09,France,Morocco,2,0,FIFA World Cup,Boston,United States,True
2026-07-11,Spain,Belgium,2,1,FIFA World Cup,Philadelphia,United States,TRUE
